simulation                     ,scenario                                           ,maxUsers ,request                              ,start         ,startDate           ,duration ,end           ,count ,successCount ,errorCount ,min  ,p50  ,p90  ,p95  ,p99  ,max  ,avg     ,stddev ,rps  ,apdex ,rating
createandrunpipelinesimulation ,ai.wand.simulations.CreateAndRunPipelineSimulation ,       1 ,_all                                 ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752640990 ,   28 ,          28 ,         0 ,  82 , 439 ,1100 ,1189 ,1213 ,1213 , 582.46 ,   456 ,0.23 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Get Solutions list                   ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752522395 ,    1 ,           1 ,         0 ,  82 ,  82 ,  82 ,  82 ,  82 ,  82 ,  82.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Get run table results                ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752639775 ,    1 ,           1 ,         0 ,  87 ,  87 ,  87 ,  87 ,  87 ,  87 ,  87.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Save the pipeline                    ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752527971 ,    1 ,           1 ,         0 ,  87 ,  87 ,  87 ,  87 ,  87 ,  87 ,  87.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Get run box results                  ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752639686 ,    1 ,           1 ,         0 ,  88 ,  88 ,  88 ,  88 ,  88 ,  88 ,  88.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Create solution                      ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752523492 ,    1 ,           1 ,         0 ,  88 ,  88 ,  88 ,  88 ,  88 ,  88 ,  88.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Get box metrics                      ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752522312 ,    1 ,           1 ,         0 ,  96 ,  96 ,  96 ,  96 ,  96 ,  96 ,  96.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Create training env                  ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752525774 ,    1 ,           1 ,         0 , 123 , 123 , 123 , 123 , 123 , 123 , 123.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Create AI Task                       ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752524645 ,    1 ,           1 ,         0 , 141 , 141 , 141 , 141 , 141 , 141 , 141.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Init login                           ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752521515 ,    1 ,           1 ,         0 , 160 , 160 , 160 , 160 , 160 , 160 , 160.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Get table metrics                    ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752522214 ,    1 ,           1 ,         0 , 200 , 200 , 200 , 200 , 200 , 200 , 200.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Upload file                          ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752526566 ,    1 ,           1 ,         0 , 355 , 355 , 355 , 355 , 355 , 355 , 355.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Login with credentials               ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752522011 ,    1 ,           1 ,         0 , 372 , 372 , 372 , 372 , 372 , 372 , 372.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Get upload file url                  ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752526208 ,    1 ,           1 ,         0 , 432 , 432 , 432 , 432 , 432 , 432 , 432.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Run the pipeline                     ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752528420 ,    1 ,           1 ,         0 , 447 , 447 , 447 , 447 , 447 , 447 , 447.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Get Sneekpeak                        ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752527880 ,    1 ,           1 ,         0 , 558 , 558 , 558 , 558 , 558 , 558 , 558.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Create file node                     ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752527319 ,    1 ,           1 ,         0 , 744 , 744 , 744 , 744 , 744 , 744 , 744.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,User 1 wait for pipeline to COMPLETE ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752629581 ,   10 ,          10 ,         0 ,  90 ,1088 ,1154 ,1161 ,1161 ,1161 , 995.30 ,   318 ,0.08 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Get run status                       ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752529509 ,    1 ,           1 ,         0 ,1083 ,1083 ,1083 ,1083 ,1083 ,1083 ,1083.00 ,     0 ,0.01 , 1.00 ,Excellent
createandrunpipelinesimulation ,null                                               ,       1 ,Get 10 run table data items          ,1677752520203 ,2023-03-02 12:22:00 ,  120.79 ,1677752640990 ,    1 ,           1 ,         0 ,1214 ,1213 ,1213 ,1213 ,1213 ,1213 ,1213.00 ,     0 ,0.01 , 1.00 ,Excellent
